age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility
28,Male,Married,Post Graduate,25200.0,Private,3.4,Startup,Own,0.0,8,6,2700.0,1150.0,830.0,8560.0,530.0,No,0.0,734.0,101500.0,19000.0,Education EMI,187200.0,35,6370.0,Eligible
52,Male,Married,Post Graduate,34200.0,Self-employed,21.1,MNC,Rented,9600.0,4,2,2330.0,280.0,690.0,6360.0,2720.0,No,0.0,610.0,192900.0,1700.0,Education EMI,498100.0,47,7600.0,Not_Eligible
48,Female,Married,Professional,63800.0,Government,16.2,Startup,Rented,16400.0,4,2,740.0,4390.0,3930.0,12900.0,4090.0,No,0.0,690.0,236800.0,10400.0,Vehicle EMI,669700.0,23,12750.0,Not_Eligible
40,Male,Married,High School,32800.0,Private,5.6,Government,Own,0.0,3,2,7170.0,12830.0,1360.0,7220.0,1120.0,No,0.0,751.0,36600.0,51200.0,Vehicle EMI,143500.0,67,2100.0,High_Risk
40,Male,Married,Graduate,44200.0,Self-employed,15.0,MNC,Family,0.0,3,1,80.0,0.0,3280.0,6550.0,3160.0,Yes,8500.0,676.0,242700.0,17900.0,Home Appliances EMI,116800.0,31,15950.0,Eligible
55,Female,Married,Post Graduate,61400.0,Private,7.6,Government,Rented,16300.0,4,2,4990.0,9830.0,3730.0,11630.0,2800.0,No,0.0,591.0,332400.0,79400.0,E-commerce Shopping EMI,46500.0,24,5560.0,High_Risk
28,Male,Married,Post Graduate,68000.0,Private,2.4,MNC,Family,0.0,1,0,0.0,0.0,1540.0,10100.0,4310.0,No,0.0,468.0,112700.0,9400.0,Personal Loan EMI,259300.0,46,19410.0,Not_Eligible
50,Male,Married,Graduate,83300.0,Private,14.0,MNC,Own,0.0,1,0,0.0,0.0,2640.0,11230.0,4300.0,No,0.0,653.0,208900.0,229000.0,Personal Loan EMI,649400.0,24,37550.0,Eligible
32,Male,Married,High School,58000.0,Private,7.6,Startup,Rented,12300.0,6,5,2300.0,6860.0,3670.0,13540.0,3170.0,No,0.0,502.0,155900.0,62000.0,Vehicle EMI,770100.0,45,7310.0,Not_Eligible
28,Male,Married,Graduate,47500.0,Private,2.6,Government,Rented,6200.0,6,4,400.0,12350.0,2420.0,11800.0,1710.0,No,0.0,657.0,240900.0,77500.0,E-commerce Shopping EMI,108000.0,16,6180.0,High_Risk
43,Female,Single,Post Graduate,43000.0,Private,15.0,Startup,Rented,10200.0,4,3,5920.0,550.0,3410.0,9430.0,1150.0,Yes,4000.0,673.0,82400.0,62100.0,Personal Loan EMI,721500.0,33,6130.0,Not_Eligible
60,Male,Married,High School,101700.0,Private,15.0,Government,Family,0.0,7,6,3820.0,7430.0,7300.0,17430.0,2530.0,Yes,10700.0,478.0,376900.0,275300.0,Personal Loan EMI,632900.0,57,29330.0,Not_Eligible
51,Female,Married,Graduate,69200.0,Private,25.3,Government,Own,0.0,2,1,2330.0,0.0,4730.0,10030.0,5530.0,No,0.0,691.0,282300.0,170800.0,Home Appliances EMI,25600.0,28,31880.0,Eligible
52,Male,Single,Post Graduate,44600.0,Private,20.0,Government,Rented,8800.0,8,6,1750.0,10780.0,1310.0,10430.0,3330.0,No,0.0,594.0,242200.0,77800.0,Home Appliances EMI,220100.0,23,4900.0,Not_Eligible
50,Male,Married,Graduate,103500.0,Private,15.9,MNC,Own,0.0,5,3,3170.0,3790.0,7940.0,21970.0,5830.0,Yes,6300.0,573.0,442600.0,223700.0,E-commerce Shopping EMI,91200.0,17,33320.0,High_Risk
53,Female,Single,High School,43100.0,Private,10.2,Startup,Rented,12700.0,6,4,3120.0,14070.0,2280.0,8700.0,2370.0,Yes,2700.0,667.0,241500.0,81400.0,Education EMI,165800.0,12,500.0,Not_Eligible
43,Female,Married,Post Graduate,74600.0,Self-employed,5.2,Startup,Own,0.0,5,4,2820.0,12620.0,4290.0,13330.0,2220.0,Yes,15300.0,633.0,227900.0,25600.0,Personal Loan EMI,563200.0,54,12970.0,High_Risk
29,Male,Married,Post Graduate,62600.0,Private,2.2,Startup,Family,0.0,8,6,7670.0,14940.0,1610.0,11700.0,4110.0,No,0.0,734.0,222200.0,76800.0,Education EMI,253000.0,15,13010.0,Not_Eligible
55,Female,Married,Graduate,45800.0,Private,24.9,MNC,Rented,7900.0,5,3,3050.0,8700.0,3230.0,11130.0,1780.0,No,0.0,641.0,179100.0,49700.0,E-commerce Shopping EMI,105000.0,23,6220.0,High_Risk
41,Female,Married,Post Graduate,28000.0,Self-employed,7.0,Government,Own,0.0,8,6,6860.0,11120.0,590.0,9760.0,2800.0,Yes,1500.0,538.0,58400.0,51100.0,Home Appliances EMI,181900.0,18,500.0,Not_Eligible
43,Female,Married,Graduate,41200.0,Private,7.7,Startup,Own,0.0,6,4,4860.0,11260.0,3000.0,10020.0,2330.0,No,0.0,731.0,108200.0,23900.0,Vehicle EMI,835200.0,82,5220.0,Not_Eligible
38,Female,Married,Graduate,89400.0,Private,10.7,SME,Own,0.0,6,5,3210.0,4670.0,4230.0,20860.0,8700.0,No,0.0,642.0,203700.0,169100.0,Education EMI,279900.0,11,27800.0,High_Risk
31,Female,Married,Graduate,49500.0,Private,6.3,SME,Own,0.0,4,2,950.0,11500.0,2970.0,11840.0,4640.0,No,0.0,587.0,78200.0,21900.0,E-commerce Shopping EMI,85400.0,22,9820.0,High_Risk
58,Male,Single,Post Graduate,104800.0,Self-employed,29.1,MNC,Rented,11100.0,7,5,5320.0,3030.0,8380.0,20060.0,8770.0,Yes,13800.0,670.0,343100.0,107600.0,E-commerce Shopping EMI,34300.0,11,23050.0,Eligible
53,Female,Married,Post Graduate,50000.0,Government,22.0,Government,Own,0.0,6,4,3760.0,6050.0,2490.0,13650.0,1820.0,No,0.0,655.0,63300.0,101200.0,Personal Loan EMI,468500.0,21,14340.0,Not_Eligible
48,Female,Single,Graduate,59100.0,Self-employed,10.0,Startup,Own,0.0,4,3,3420.0,1320.0,1750.0,9000.0,4580.0,No,0.0,850.0,345800.0,84000.0,Personal Loan EMI,272000.0,50,30930.0,Eligible
39,Male,Married,High School,56100.0,Private,8.5,Government,Rented,9900.0,6,5,7020.0,14350.0,2280.0,12340.0,5370.0,Yes,6000.0,694.0,256800.0,167200.0,Personal Loan EMI,278700.0,55,500.0,Not_Eligible
54,Male,Single,Post Graduate,68100.0,Self-employed,16.7,SME,Own,0.0,7,6,4630.0,9590.0,2690.0,16080.0,6550.0,No,0.0,535.0,360400.0,31200.0,E-commerce Shopping EMI,190900.0,16,12840.0,Not_Eligible
44,Male,Married,Professional,62000.0,Government,13.8,Startup,Rented,17900.0,5,4,3800.0,3580.0,1850.0,13980.0,3000.0,Yes,11400.0,498.0,186300.0,43400.0,E-commerce Shopping EMI,109900.0,12,3070.0,Not_Eligible
40,Female,Single,High School,43600.0,Government,10.9,Startup,Family,0.0,1,0,0.0,0.0,2060.0,4370.0,2970.0,Yes,4700.0,746.0,192900.0,12600.0,Education EMI,214800.0,39,19850.0,Eligible
41,Male,Married,Professional,32200.0,Government,5.8,Startup,Own,0.0,1,0,0.0,0.0,1730.0,4670.0,2650.0,Yes,3500.0,510.0,96000.0,54100.0,E-commerce Shopping EMI,86700.0,14,7920.0,Not_Eligible
33,Female,Married,Post Graduate,79400.0,Government,8.6,SME,Own,0.0,7,6,7100.0,11600.0,5110.0,12610.0,4250.0,No,0.0,746.0,256100.0,33100.0,Personal Loan EMI,656100.0,57,28780.0,Eligible
28,Male,Single,Professional,134600.0,Private,1.8,MNC,Rented,21000.0,7,5,7280.0,3370.0,8520.0,20070.0,5470.0,No,0.0,606.0,438700.0,323600.0,Personal Loan EMI,647000.0,46,33480.0,High_Risk
44,Male,Married,High School,51500.0,Government,9.4,Government,Rented,15400.0,7,6,1970.0,5920.0,3890.0,11760.0,3880.0,No,0.0,587.0,251800.0,64800.0,E-commerce Shopping EMI,114700.0,15,4230.0,Not_Eligible
56,Male,Single,Professional,71000.0,Private,18.9,SME,Rented,11600.0,3,2,2570.0,5750.0,4070.0,11170.0,5600.0,Yes,7600.0,785.0,108200.0,8100.0,Home Appliances EMI,105400.0,22,15720.0,Eligible
27,Male,Single,Graduate,51400.0,Government,1.3,SME,Rented,8700.0,5,4,6290.0,13190.0,1880.0,10250.0,3130.0,No,0.0,702.0,137600.0,2300.0,Home Appliances EMI,88900.0,28,4080.0,Eligible
